"""ID"";""Population"";""Sex"";""PersonalCharacteristics"";""Margins"";""Periods"";""TrafficParticipation_1"";""UseOfPublicTransport_2"""
"""183"";""A048710"";""T001038"";""1014755"";""MW00000"";""2021JJ00"";""    82.6"";""     3.3"""
"""184"";""A048710"";""T001038"";""1014755"";""MOG0095"";""2018JJ00"";""    86.0"";""     7.0"""
"""185"";""A048710"";""T001038"";""1014755"";""MOG0095"";""2019JJ00"";""    85.5"";""     7.5"""
"""186"";""A048710"";""T001038"";""1014755"";""MOG0095"";""2020JJ00"";""    78.8"";""     3.0"""
"""187"";""A048710"";""T001038"";""1014755"";""MOG0095"";""2021JJ00"";""    81.9"";""     3.0"""
"""188"";""A048710"";""T001038"";""1014755"";""MBG0095"";""2018JJ00"";""    87.5"";""     8.0"""
"""189"";""A048710"";""T001038"";""1014755"";""MBG0095"";""2019JJ00"";""    87.1"";""     8.7"""
"""190"";""A048710"";""T001038"";""1014755"";""MBG0095"";""2020JJ00"";""    80.3"";""     3.7"""
"""191"";""A048710"";""T001038"";""1014755"";""MBG0095"";""2021JJ00"";""    83.3"";""     3.6"""
"""192"";""A048710"";""T001038"";""1014756"";""MW00000"";""2018JJ00"";""    86.6"";""     8.1"""
"""193"";""A048710"";""T001038"";""1014756"";""MW00000"";""2019JJ00"";""    86.3"";""     7.6"""
"""194"";""A048710"";""T001038"";""1014756"";""MW00000"";""2020JJ00"";""    80.0"";""     3.4"""
"""195"";""A048710"";""T001038"";""1014756"";""MW00000"";""2021JJ00"";""    81.7"";""     3.1"""
"""196"";""A048710"";""T001038"";""1014756"";""MOG0095"";""2018JJ00"";""    85.8"";""     7.6"""
"""197"";""A048710"";""T001038"";""1014756"";""MOG0095"";""2019JJ00"";""    85.4"";""     7.1"""
"""198"";""A048710"";""T001038"";""1014756"";""MOG0095"";""2020JJ00"";""    79.3"";""     3.1"""
"""199"";""A048710"";""T001038"";""1014756"";""MOG0095"";""2021JJ00"";""    81.0"";""     2.9"""
"""200"";""A048710"";""T001038"";""1014756"";""MBG0095"";""2018JJ00"";""    87.4"";""     8.7"""
"""201"";""A048710"";""T001038"";""1014756"";""MBG0095"";""2019JJ00"";""    87.2"";""     8.1"""
"""202"";""A048710"";""T001038"";""1014756"";""MBG0095"";""2020JJ00"";""    80.7"";""     3.7"""
"""203"";""A048710"";""T001038"";""1014756"";""MBG0095"";""2021JJ00"";""    82.5"";""     3.4"""
"""204"";""A048710"";""T001038"";""2030530"";""MW00000"";""2018JJ00"";""    88.7"";""    40.7"""
"""205"";""A048710"";""T001038"";""2030530"";""MW00000"";""2019JJ00"";""    86.7"";""    41.1"""
"""206"";""A048710"";""T001038"";""2030530"";""MW00000"";""2020JJ00"";""    73.5"";""    18.6"""
"""207"";""A048710"";""T001038"";""2030530"";""MW00000"";""2021JJ00"";""    79.6"";""    23.7"""
"""208"";""A048710"";""T001038"";""2030530"";""MOG0095"";""2018JJ00"";""    87.0"";""    38.7"""
"""209"";""A048710"";""T001038"";""2030530"";""MOG0095"";""2019JJ00"";""    84.8"";""    38.9"""
"""210"";""A048710"";""T001038"";""2030530"";""MOG0095"";""2020JJ00"";""    71.7"";""    17.1"""
"""211"";""A048710"";""T001038"";""2030530"";""MOG0095"";""2021JJ00"";""    78.1"";""    22.2"""
"""212"";""A048710"";""T001038"";""2030530"";""MBG0095"";""2018JJ00"";""    90.2"";""    42.9"""
"""213"";""A048710"";""T001038"";""2030530"";""MBG0095"";""2019JJ00"";""    88.4"";""    43.4"""
"""214"";""A048710"";""T001038"";""2030530"";""MBG0095"";""2020JJ00"";""    75.2"";""    20.2"""
"""215"";""A048710"";""T001038"";""2030530"";""MBG0095"";""2021JJ00"";""    81.1"";""    25.3"""
"""216"";""A048710"";""T001038"";""2030540"";""MW00000"";""2018JJ00"";""    94.1"";""    17.2"""
"""217"";""A048710"";""T001038"";""2030540"";""MW00000"";""2019JJ00"";""    89.0"";""    19.4"""
"""218"";""A048710"";""T001038"";""2030540"";""MW00000"";""2020JJ00"";""    81.8"";""       ."""
"""219"";""A048710"";""T001038"";""2030540"";""MW00000"";""2021JJ00"";""    82.4"";""    16.1"""
"""220"";""A048710"";""T001038"";""2030540"";""MOG0095"";""2018JJ00"";""    88.0"";""    12.7"""
"""221"";""A048710"";""T001038"";""2030540"";""MOG0095"";""2019JJ00"";""    83.9"";""    14.6"""
